17Again.txt
Nombre; Palabras
BOY;4
MIKE;3041
MALE VOICE;13
BARTENDER;7
GIRL'S VOICE;1
DOM;40
SAMANTHA;132
BAILIFF;12
STAN;184
GIRL;12
VOICE;8
NICOLE;24
SECRETARY;14
HOSTESS;5
WONDER BRAS;2
SALESMAN;1
JAMIE;67
SCARLET;814
COACH HARVEY;221
MAGGIE;374
MRS. MENCER;35
ED;1470
JAZZ;5
OLDER LADY;9
MIKE'S TEXT;8
PHOTOGRPAHER;4
ROGER;88
WENDY;11
LAUREN;72
JANITOR;38
FEMALE VOICE;3
REFEREE;10
ALEX;635
BIGGEST LOSER;13
WAITER;9
JULIE;450
GAYSIAN;7
SAMANTHA'S TEXT;13
ACUPUNCTURIST;11
JUDGE;100
LISA;3
MR. ADAMS;125
KID;3
