AGoofyMovie.txt
Nombre; Palabras
Pete;702
Girl;37
Beach Boy;5
Miss Maples;32
Another Boy;4
Photographer;2
Cheerleaders;29
YetAanother Another Boy;3
Mazur;209
Little Girl;6
Music;194
Nuns;8
Roxanne;481
Trekkie Boy;5
Twin Girls;8
Little Old Lady From Pasadena;15
Boy's Voice;5
Large Wife;1
Max;3753
Yet Another Boy;3
Girl tearing up test;6
Waiting until I could say;28
Roxanne's Voice;64
PJ;436
YAAAABoy;3
Tow Truck Driver;8
CW Girls in pickup;8
Kid;86
Boy;42
Bobby;250
Twin Boys;5
Security Guard;11
Cook;2
Mordechai;5
Goofy;3443
Both;79
YAAABoy;3
Small Driver;12
Voice;38
Two Girls in black;7
Stacey;244
Waitress;94
Day One;29
Mickey;5
All;171
Trekkie;12
PA;43
Mommy;8
Principal Mazur;4
Con in paddy wagon;39
Girl with credit cards;5
Lester;220
Boy with crib notes on arm;5
School Bus Driver;6
Powerline;230
Old Possum;26
Some people settle for the typical thing;70
