AladdinIITheReturnOfJafar.txt
Nombre; Palabras
PEDDLER;100;
ALADDIN;1042;
THIEVES;1;
ABU;49;
ALADDIN & JASMINE;22;
RAZOUL;85;
POOR MOTHER;2;
JAFAR;709;
JASMINE;417;
ALL HAIL ALADDIN, THE ROYAL VIZIER! SO, UH, WHAT'S A ROYAL VIZIER? SULTAN;7;
IAGO;1261;
ABIS MAL;357;
BOTH;4;
SULTAN;169;
ALL THIEVES;3;
THAT WAS TWO WISHES. TAKE YOUR TIME WITH THE THIRD. OR YOU WILL WISH YOU HAD NEVER BEEN BORN. ABIS MAL;1;
OMAR;14;
GENIE;479;
GENIE JAFAR;125;
ALADDIN, JASMINE & GENIE;10;
FAZAHL;6;
EGG MERCHANT;9;
