AliceInWonderland.txt
Nombre; Palabras
Marigolds;8
Dum;50
Tweedle Dee;11
Rose;32
Cheshire Cat;284
March Hare & Mad hatter;6
Three;9
Carpenter;58
Flamingo;2
Queen;343
Alice & Card painters;30
Rose bud;4
Other flower??;3
Lily;10
Bird;60
Mad Hatter, March Hare and Cards;18
Jury;6
Ace;2
Mother oyster;11
Walrus;211
March Hare & Mad Hatter;38
White Rabbit;472
Daisies;6
Caterpillar;176
Larkspur??;5
Mad Hatter & March Hare;6
Dee & Dum;62
2nd Lily;7
Flowers;6
King;136
Sister;117
Bill;25
Tulips;12
Parrot;3
All flowers;107
Dinah;6
Dodo;514
Alice;2293
Two;12
Chorus;146
Tulip;8
March Hare;317
Mickey Mouse??;1
Cards;47
Oysters;1
Dee;40
All;27
Marguerite;48
Lilac;8
Violets;20
Snap-dragon;37
Doorknob;172
Dormouse;48
March hare;9
Mad Hatter;443
Duck;5
1st Lily;6
Card painters;121
Tweedle Dum;12
