AntMan.txt
Nombre; Palabras
PYM TECH EMPLOYEE;4;
ICE CREAM STORE CUSTOMER;28;
DARREN CROSS;1109;
CARSON;8;
PYM TECH SECURITY GUARD;8;
PEGGY CARTER;25;
CELL PHONE;18;
HOWARD STARK;98;
DALE;141;
HOPE VAN DYNE;1035;
MAGGIE LANG;168;
GALE;16;
FRANK;45;
CASSIE LANG;131;
COP ON SPEAKER;10;
MITCHELL CARSON;82;
ALPHA GUARD;12;
DAVE;191;
PEACHY;17;
LUIS;799;
POOL BBQ DAD;2;
DR. HANK PYM;2096;
SCOT LANG;5;
PYM TECH GATE GUARD;2;
VOICE OVER RADIO;9;
SAM WILSON;111;
HIDEOUS RABBIT;8;
PAXTON;412;
KURT;139;
DETECTIVE;20;
SCOTT LANG;2296;
COMPUTER;7;
SCOTT;1;
CAB DRIVER;3;
POLICE RADIO;12;
STEVE ROGERS;12;
