Aristocats.txt
Nombre; Palabras
FROU-FROU;47;
MARIE GIGGLES;2;
CHINESE CAT;25;
BOTH;1;
ENGLISH CAT;6;
ABIGAIL;255;
O'MALLEY GASPS;9;
ALL;1;
CATS;24;
SCAT CAT LAUGHS;16;
ROQUEFORT TO KITTENS;7;
DUCHESS TO WET O'MALLEY;7;
DUCHESS SIGHES;11;
EDGAR GASPS;1;
O'MALLEY CONTINUES;73;
O'MALLEY ROLLING ON HIS BACK;9;
CHEF;17;
BERLIOZ;247;
MARIE TO BERLIOS;8;
DUCHESS, MARIE, TOULOUSE;14;
RUSSIAN CAT;20;
SCAT CAT;131;
O'MALLEY AND SCAT CAT;37;
DRIVER;7;
MAC;10;
MARIE WAVES;3;
SCAT CAT CHUCKLES;8;
EDGAR SPITS THE WINE OUT;4;
BERLIOZ WHISPERS;1;
O'MALLEY AND MARIE;26;
DUCHESS LAUGHS AND CLAPS;8;
MARIE;212;
NAPOLEON;317;
EDGAR SINGS;45;
DUCHESS, MARIE;5;
O'MALLEY JUMPS;8;
ROQUEFORT TO CATS;4;
GEORGES;185;
WALDO;101;
TRUCK DRIVER;8;
MARIE SINGS;30;
SCAT CAT KISSES HER PAW;5;
TOULOUSE HISSES;6;
ALL GANG;54;
EDGAR;462;
MADAME;453;
DUCHESS TO O'MALLEY;11;
LAFAYETTE;185;
DUCHESS AND MARIE;34;
GEESE;2;
O'MALLEY TO HIMSELF;26;
ITALIAN CAT;16;
O'MALLEY, MARIE, SCAT CAT;6;
O'MALLEY;913;
MARIE AND BERLIOZ;1;
AMELIA;246;
THOMAS;10;
TOULOUSE SNARLS AND HISSES;1;
TOULOUSE;193;
DUCHESS LAUGHS;74;
ROQUEFORT RUNS AFTER O'MALLEY;11;
O'MALLEY LICKS HIS PAW;4;
KITTENS;2;
ROQUEFORT;320;
DUCHESS;879;
O'MALLEY TO ROQUEFORT;6;
O'MALLEY CHUCKLES;43;
O'MALLEY OPENS THE MOUTH;3;
FROU-FROU CHUCKLES;6;
LAYWER;11;
AMELIA AND ABIGAIL;2;
NAPOLEON SINKS BACK;1;
LAFAYETTE CHUCKLES;7;
MADAME FROM THE FRONT DOOR;20;
