CampRock2TheFinalJam.txt
Nombre; Palabras
Sander;66
Mitchie;1185
Oliver;8
Peggy, Caitlyn and Ella;2
Announcer;22
Jr Rockers;10
All of them;1
Axel;547
C.R.C;3
Nate;600
Caitlyn;297
Brown;678
Barron;53
Camp Star Announcer;8
Shane;609
Luke;203
Ella;196
Gina;251
Mitchie and Peggy;1
Camp Star;2
Peggy;198
Connie;252
Tess;222
Camp Rockers;17
Jr Rocker Boy;15
Rockers;6
Camp Star Girl;23
Caitlyn, Peggy and Ella;5
Jr Rocker Jamal;51
Shane and Nate;1
Dana;472
Announcement from speaker;17
All;13
Everyone;9
Jason;505
All the brothers;13
Jr Rocker Trevor;36
All the drummers;1
Counsellor;7
Producer;5
Jr Rocker Audrey;8
Jr Rocker;12
The boys;2
