CaptainAmericaCivilWar.txt
Nombre; Palabras
Wanda Maximoff;203
Mrs. Spencer;70
FedEx Driver;4
Sharon Carter;390
Helmut Zemo;594
Man on speakers;12
GSG-9 Driver;4
FRIDAY;149
King T'Chaka;165
Young Tony Stark;62
T'Challa;296
Bucky Barnes;324
Delivery Truck Driver;25
Tony Stark;2126
Clint Barton;265
James Rhodes;278
Custodian;5
MIT teacher;63
Maria Stark;81
Stark's Assistant;23
Brock Rumlow;121
German Innkeeper;97
Security Chief;6
Secretary Ross;294
Mrs Spencer;43
Everett Ross;124
Mercenary;1
Vasily Karpov;56
Priest;17
GSG-9 Soldier;17
Howard Stark;65
Vision;345
May Parker;70
Natasha Romanoff;514
Sam Wilson;469
Inside is a vast, gloomy space cramped with shelves stacked with filing boxes. Zemo moves a ladder along and searches the boxes. he climbes up the ladder and removes a filing box labeled;3
Attache;16
Man on PA # Der Ostflügel ist kompromittiert. Ich wiederhole;4
Scott Lang;275
Guard;12
Zemo's Wife;48
Peter Parker;671
UN staffer;10
Steve Rogers;1442
