Cars.txt
Nombre; Palabras
Minny;83
Bob Cutlass;80
Rust-eze Van;97
Guys;1
Sheriff;350
Mia;4
Chick's coach;10
Balloon;3
Luigi;462
The King;135
Seller;4
Fans;49
Darrel Cartrip;23
Speaker;37
Helicopter;8
Folks;20
DJ;3
Fred;31
Boost;20
McQueen's Crew;1
Red;5
Andretti;17
Hummer;8
Kori Turbowitz;66
Ramone;158
Mater;982
Chick's crew;23
Rust-eze Car;76
Bessie;1
Folk;4
McQueen;2787
Doc Hudson;82
Tia;2
Filmore;103
Guido;37
Frank;1
Fan;33
Small aeroplane;2
News;30
Sarge;65
Mack;236
McQueen's crew;34
Race car;1
Junior;29
Tuner team;1
Wingo;9
Bob;417
Doc;748
McQueen & Sally;1
Chuck;17
Michael Schumacker;44
The King's Coach;9
Chick's Crew;6
Biggest fan;2
Flo;156
Broken car;9
Chick;408
Security;23
sarge;7
sally;27
Jay Limo;17
Cameramen;134
Kori;18
Peterbilt;15
Rust-eze Folks;2
Chick Crew;9
Fillmore;2
Lizzie;176
Sally;1053
Mia & Tia;16
Some guys far away;4
Tex;95
McQueen crew;8
McQuenn crew;1
Biggest Fan;9
Radio;39
Darrell;412
All Chick's Crew;1
Snot Rod;9
Dear;26
Harv;313
Mater & McQueen;1
Van;92
