Cars2.txt
Nombre; Palabras
;11;
NOSY PACER;22;
VICTOR HUGO;27;
FILLMORE;65;
SHERIFF;26;
LIZZIE;14;
FINN;910;
BRITISH CORPORAL;6;
RAMONE;33;
ANOTHER HUGO;7;
MATER'S COMPUTER;38;
EVERYONE;7;
FLO;63;
LUIGI;128;
ACER;140;
DARRELL CARTRIP;27;
VOICE;7;
PRESS LIAISON;30;
LELAND TURBO;74;
MINNY;8;
SUSHI CHEF;3;
LEWIS HAMILTON;29;
JEFF GORVETTE;17;
TOMBER;124;
BRENT MUSTANGBURGER;108;
VLADIMIR TRUNKOV;25;
ALEXANDER HUGO;58;
UNCLE TOPOLINO;161;
GUARD;3;
FRANCESCO;313;
PRESS;12;
GREM;165;
SARGE;46;
SALLY;122;
SIDDELEY;11;
VAN;30;
ROD REDLINE;85;
ITALIAN MOTORBOAT;1;
MCQUEEN;1191;
SECURITY CAR;8;
MILES AXLEROD;241;
GUIDO;8;
QUEEN;24;
MACK;16;
LORD STEWARD;20;
QUEEN'S GUARD;4;
HOLLEY;845;
LEMONHEADS;10;
PRINCE WHEELIAM;10;
CRABBY;80;
QUEEN'S GUARDS;14;
ENGINE VOICE;141;
STEPHENSON;6;
OTIS;91;
MATER;2600;
COMBAT SHIP;21;
MAMA TOPOLINO;10;
PROFESSOR ZUNDAPP;294;
MERCHANTS;11;
TUBBS PACER;20;
