Coco.txt
Nombre; Palabras
CASE WORKER;12;
GROUNDSKEEPER;7;
CROWD MEMBER;8;
OLD TIAS;2;
SECURITY GUARD;29;
MAMÁ IMELDA;568;
PAPÁ;157;
TÍO OSCAR/TÍO FELIPE;1;
MAMÁ COCO;54;
PAPÁ JULIO;77;
WOMAN;13;
CROWD;7;
TÍO OSCAR;32;
MIGUEL & DE LA CRUZ;12;
ABUELITA;423;
VENDOR;1;
FAMILY;23;
DANTE;2;
PAPÁ FRANCO;2;
TÍA ROSITA;63;
EMCEE;99;
VOICE OVER P.A.;10;
PRIMA ROSA;11;
SKELETON MOTHER;10;
YOUNG HÉCTOR;21;
PLAZA MARIACHI;128;
DE LA CRUZ/MAMÁ IMELDA;20;
INTERVIEWER;14;
STAGEHAND;28;
CORRECTIONS OFFICER;51;
MUSICIANS;8;
CROWD MEMBERS;21;
FRIDA;170;
BAND LEADER;10;
TÍO FELIPE;27;
TÍA GLORIA;6;
TÍA VICTORIA;36;
TOUR GUIDE;66;
(TO HéCTOR);13;
YOUNG DE LA CRUZ;60;
HÉCTOR;1718;
TÍO FELIPE/TÍO OSCAR;7;
AUDIENCE;2;
PRIMO ABEL;8;
YOUNG COCO;1;
DEPARTURES AGENT;51;
DE LA CRUZ;833;
TRAVELER;4;
GUEST;6;
CECILIA;28;
MIFFED WIFE;11;
NUN;22;
ANNOUNCER;9;
AUDIENCE MEMBER;9;
PATROLWOMAN;9;
TÍO BERTO;31;
CHICHARRÓN;84;
OFFICER;1;
STREET VENDOR;3;
DON HIDALGO;27;
ELDERLY COUPLE;1;
CLERK;147;
SKELETON ABUELA;5;
GUSTAVO;49;
SKELETON HEAD;4;
VOICES;14;
RATTY MEMBER;1;
RATTY GROUP;2;
LOLA;9;
CANNED LOOP;48;
OPERA SINGERS;8;
SKELETON MUSICIAN;10;
JUAN ORTODONCIA;1;
PATROLMAN;18;
DISTRESSED TRAVELER;12;
ARRIVALS AGENT;15;
MIGUEL;2689;
MAMÁ;71;
STAGE MANAGER;20;
TÍA CHELO;14;
