Deadpool.txt
Nombre; Palabras
BOY;2;
GIRLS;9;
WHISPER 3;5;
MERCENARIES;1;
BOOTHE;2;
WEASEL;347;
PRISONER;21;
WADE;1369;
NURSE;10;
VOICE;1;
BOB;3;
WHISPER 2;8;
BLIND AL;214;
WOMAN;3;
CUNNINGHAM;27;
ANGEL;4;
DOCTOR;107;
VANESSA;615;
HENCHMAN;4;
MANAGER;12;
ELDERLY WOMAN;2;
GUARD;5;
STAN LEE;8;
NEGASONIC TEENAGE WARHEAD;156;
MOTHER;3;
ELDERLY MAN;16;
ANGEL DUST;51;
MERCHANT;45;
CABBIE;1;
ABE;12;
REPORTER;19;
MEGHAN;4;
GOON;14;
RECRUITER;174;
AJAX;941;
THUG;4;
JEREMY;183;
WARLORD;24;
JOHN DENVER;18;
BUCK;66;
DEADPOOL;2397;
BEEF;1;
DOPINDER;201;
COLOSSUS;203;
SALT & PEPA;7;
NTW;34;
TEEN;29;
DR. KILLEBREW;3;
VOLUNTEER;5;
