FindingDory.txt
Nombre; Palabras
Hermit Crabs;4
Male Employee;45
Male Aquarist;4
Migrating Rays;75
Destiny;497
Peach;4
Gerald;3
Yellow Fish;1
Crush;64
Kids;2
Male Driver;57
Bailey;506
Wife Fish;106
Gil;36
Squirt;15
Female Worker;12
Kathy;31
Blue Tangs;19
Female Yellow Fish;4
Blue Student;8
Young Dory;221
Bloat;2
Dory;3885
All Fish;17
Fluke;261
Sick Fish;6
Student;2
Child;12
Stan;81
Carol;19
Giant Clam;95
Class;8
Female Fish;14
Hank;1129
Bill;32
Female Otter Trainer;17
Charlie;360
Male Sunfish;11
Male Blue Tang;8
Marlin;1613
Female Blue Tang;29
Male Car Driver;5
Sigourney Weaver;123
Seagulls;4
Female Crab;69
Deb;5
Female Aquarist;19
Mr. Ray;211
Jacques;1
Rudder;123
Jenny;410
Seastar;3
Sea Cucumber;3
Tween Dory;48
Fish;26
Nemo;388
Male Worker;21
Worms;13
Female Driver;29
Female Educator;35
Male Yellow Fish;3
Green Student;6
Gurgle;6
