FindingNemo.txt
Nombre; Palabras
MARLINLOOK, I'M SURE HE IS. BUT YOU HAVE A LARGE CLASS AND HE CAN GET LOST;12;
TURTLE KIDS;7;
DEB;120;
GILL;735;
BLOAT;242;
FISH;27;
SWORDFISH;24;
DARLA;42;
ANCHOR/CHUM;3;
TURTLE KID;18;
GULL;4;
BLOAT/BUBBLES/GURGLE;45;
CRAB KID;9;
PELICANS;3;
BARBARA;15;
BOB;56;
GURGLE;193;
PELICAN;48;
FEMALE BIRD;18;
KIDS;7;
PATIENT;13;
PEACH;277;
FISH MOM;6;
FISH KIDS;2;
CRAB;16;
DOLPHIN;16;
TED;8;
FISH KID;8;
MARLIN;3276;
TAD;50;
LOBSTER;31;
DIVER;3;
BRUCE/ANCHOR/CHUM;30;
CHUM;127;
BOB/TED;9;
MOONFISH TED;2;
SHELDON;31;
BOTH;3;
BIG FISH;3;
CORAL;128;
NEMO;647;
DORY;1778;
PEARL;47;
JIMMY;2;
NEMO/SQUIRT;1;
NIGEL;403;
SMALL FISH;17;
SQUIRT;57;
JACQUES;25;
CRUSH/SQUIRT;1;
MARLIN/DORY;10;
ALL;14;
MR. JOHANSSEN;16;
BRUCE;277;
BILL;42;
MOONFISH SCHOOL;1;
GULLS;47;
ANCHOR;64;
DEB/BLOAT/GURGLE;1;
DENTIST;316;
MOONFISH LEADER;185;
CRUSH;266;
BUBBLES;45;
BOB/TED/BILL;6;
KRILL;2;
MR. RAY;285;
