Frozen.txt
Nombre; Palabras
FROZEN - J. Lee;5
BOY;11
TROLL PRIEST;13
ANNA AND ELSA;1
DUKE;336
GUARD;10
GRAND PABBIE;110
KID TROLL;19
TROLL ONE;5
TOWNSWOMAN;3
THUG;4
YOUNG ELSA;39
BOWING TOWNSMAN;2
SPANISH DIGNITARY;25
KING;90
GERDA;29
MUSHROOM KID TROLL;8
OLAF;948
CROWD;28
ICE HARVESTERS;141
GIRL TROLLS;7
PICK ME UP TROLL;3
OLAF AND KRISTOFF;1
TEEN ANNA;5
DOCK MASTER;3
OAKEN;139
MOTHER;10
AGGIE;7
YOUNG KRISTOFF;3
TOWNSWOMAN WITH BABY;6
TROLL SCOUT KID;6
IRISHMAN;18
ANNA;2189
KIDNEY STONE TROLL;5
KRISTOFF;1049
ALL TROLLS;27
BOTH;80
ELSA;765
CROWD WALLAH;3
PABBIE;29
PERSI;9
YOUNG ANNA;116
NAKED FAMILY;2
BULDA;62
CITIZEN ONE;18
HANS;603
TROLLS;317
BISHOP;27
ANNA/HANS;2
VARIOUS DIGNITARIES;3
MARSHMALLOW;7
YOUNG ELSA & KING;4
KAI;74
QUEEN;4
TROLL TWO;9
DUKE'S THUG;2
TEEN ELSA;5
CITIZEN TWO;6
FRENCH DIGNITARY;27
