Hercules.txt
Nombre; Palabras
;11
Woman;15
words for ya;1
Hydros;4
Boy;7
Muses;289
Nymph;1
Pyros;2
Hercules sqeezes his hand;1
Hade;28
Amphitryong;2
Fates;6
Artist screams;2
give you the thing that you crave most in the entire Cosmos;2
Muse 2 starts singing;84
Phil grunts;7
Panic;127
Nessus;13
Hercules grips Hades;3
Tall woman;4
Narrator;52
Pain;163
Fan gils;8
Lythos;7
Mars;2
Muse 5 sings;13
Hera;46
Zeus;441
Worker;5
Strong Man;4
Phil sing;115
Hades leaves;22
Areus;11
Pain as bot;6
Titans;4
Panic as boy;17
Alcmene;43
Pain as boy;21
Fan girls;6
Pain and Panic;21
Hermes;104
Man;103
Both;5
Heavy woman;22
Artist;5
Phil;1276
Together;1
Hercules sighes;7
Stratos;3
Clotho silences her;12
Cyclops;20
Hades bursts into flames;10
Amphitryion;3
ask;16
Muses sing in background;38
Voice;5
Herules;1
Muses sing;499
All;178
Megara;869
Heavy Woman;5
Guide;30
Strong man;51
Phil groans and tells to Pegassus who rushes to help;19
Hercules arrives to her;3
Driver;5
Amphitryon;99
Old man;49
Fat man;2
Hades;1596
My answer is two words;1
Lachesis;14
Thin woman;7
Sailor;8
Hercules;1429
Smuggler;7
Clotho;14
Phil sighes;9
Phil laughs;17
Pani;8
Atropos;63
Megara sighes;6
Young Hercules;3
