HighSchoolMusical.txt
Nombre; Palabras
WILDCATS & COACH BOLTON;1;
SHARPAY;550;
TEAMMATE;3;
THIRD SINGER;17;
ANNOUNCER;190;
CHEERLEADERS;3;
DISTURBED BOY;9;
TROY, CHAD, ZEKE, JASON;3;
KELSI;165;
FIRST SINGER;12;
SCIENCE GIRL;1;
LEAGUE MAN;1;
REFEREE;10;
CLASSMATES;9;
DISTURBED GIRL;31;
ALAN;4;
HOST;43;
AUDIENCE MEMBER;3;
STUDENT;15;
SKATER DUDES;1;
MISS MONTEZ;76;
TEACHER;15;
KID;2;
WILDCATS +TROY;9;
BOY;24;
RYAN;227;
PRINCIPAL MATSUI;87;
WILDCATS;38;
BOTH;17;
GIRL;4;
ZEKE;155;
ALL;18;
TAYLOR;455;
JASON;46;
CROWD;16;
CHAD;821;
COACH BOLTON;600;
MISS FALSAFF;7;
PARTYGOER;5;
TROY;1309;
MRS. BOLTON;49;
MISS DARBUS;977;
GABRIELLA;887;
WILDCAT;18;
DECATHLON ANNOUNCER;2;
