InsideOut.txt
Nombre; Palabras
Pizza Girl’s Fear;9
Cool Girl’s Anger;7
Mom’s Disgust;18
Bus Driver’s Joy;2
Helicopter Pilot;10
Bus Driver’s Anger;65
Mind Worker Cop Jake;20
Dad’s Anger;79
Dog’s Joy;3
Cool Girl’s Fear;12
'Bing Bong';9
Disgust;612
Bus Driver’s Fear;1
Teacher’s Fear;5
Clown’s Joy;7
Student in Riley’s Dream;17
Riley;342
Dad;301
Dream Director;104
Meg;59
Someone;1
Dad’s Fear;56
Joy;2705
Mom’s Fear;3
Fritz;12
Jordan;17
Dog’s Fear;46
Mom;379
Mom’s Sadness;78
Teacher;89
Both;3
Teacher’s Sadness;10
Teacher’s Joy;29
Pizza Girl’s Anger;22
Dog’s Disgust;4
Alarm;3
Cool Girl;3
Clown;17
'Joy';16
Fear and Disgust;1
Sadness;905
Cool Girl’s Sadness;15
Riley’s Teacher;8
Subconscious Guard Dave;45
Jangles;6
All;5
Imaginary Boyfriends;2
Joy and Bing Bong;4
Subconscious Guard Frank;52
Mind Worker;22
Mind Worker Cop;15
Imaginary Boyfriend;9
Pizza Girl;4
Mom’s Joy;1
Mom’s Anger;32
Bing Bong;948
Anger;641
Fear;677
Cloud;15
