IntoTheWoods.txt
Nombre; Palabras
;4
STEPMOTHER;244
CINDERELLA BAKER;10
STEPS;7
CINDERELLA/BAKER;76
R-PRINCE;10
BAKER WIFE;3
RAPUNZEL;93
WITCH;1227
BAKER;2210
R'S PRINCE;198
and a childless baker;4
/ THE BIRDS ARE SINGING SWEETLY./;9
WITCH & ALL;13
WIFE/CINDERELLA;3
WIFE CINDERELLA;16
LRRH;981
WOLF;154
STEPMOTHER/STEPSISTERS;5
JACK'S MOTHER;421
BAKER'S FATHER;52
JACK;997
LRRH/JACK;2
CINDERELLA;847
LRRH/CINDERELLA;1
STEWARD;184
GRANNY;15
STEPSISTERS;2
ALL;74
WIFE;1263
AHAH;19
LUCINDA;22
BOTH;119
BAKER/WIFE;8
C'S MOTHER;44
GIANT;53
/ WISHES COME TRUE,/ NOT FREE.;23
FLORINDA;36
/ YOU SHOULD SEE MY NECTARINES!/ BUT;8
C'S PRINCE;567
WIFE/BAKER;1
