IronMan2.txt
Nombre; Palabras
ANNOUNCEMENT;7;
HOWARD;249;
ANNOUNCER;11;
POLICE OFFICER;49;
NEWS REPORTER;63;
IVAN;267;
NATALIE;172;
SECURITY GUARD;9;
MAN IN CROWD;3;
JARVIS;256;
HAPPY;274;
PEPPER;1181;
WOMAN;3;
CHRISTINE EVERHART;29;
WOMAN IN CROWD;4;
REPORTER;58;
POLICE OFFICER;18;
LARRY;4;
JACK;24;
JUSTIN HAMMER;152;
STRAWBERRY MAN;17;
TECHNICIAN;28;
NOTARY;10;
HAPPY HOGAN;5;
SECOND GUARD;3;
JARVIS;56;
MAN;29;
SENATOR STERN;19;
RHODEY;874;
JUSTIN;2105;
CHRISTINE;110;
GOLDSTEIN;3;
PERSON;4;
IVAN VANKO;5;
HAMMER SECURITY GUARD;8;
MR MUSK;18;
AGENT ROMANOFF;24;
HOWARD STARK;91;
TV JUSTIN;16;
MARSHAL;40;
NATALIE/AGENT ROMANOFF;18;
NATASHA;176;
ANTON VANKO;16;
SHIELD AGENT;16;
PA;6;
PEOPLE;2;
MAJOR ALLEN;13;
NEWS READER;23;
NICK FURY;11;
GENERAL;61;
FURY;492;
NATALIE/AGENT ROMANOFF/NATASHA (WE’LL STICK WITH NATASHA FROM NOW ON);12;
AGENT COULSON;98;
STERN;397;
TONY;4035;
PRETTY MUCH EVERYONE IN THE CROWD;4;
SOMEONE IN BACKGROUND;3;
