Logan.txt
Nombre; Palabras
BARTENDER;10;
¿POR QUé NO PUEDES LLEVARME A ESTE;1;
WHISPERED VOICE;5;
CALL-IN GUEST;9;
CALIBAN;487;
OLD DOCTOR;112;
VALET;6;
LIZARD BOY;9;
NURSE;7;
VOICE;1;
FEDERALE COMMANDER;26;
HISPANIC WOMAN;31;
LADY MANAGER;39;
GIRL;3;
GABRIELA;602;
MAJOR;40;
LIKE THIS;1;
MARIA;7;
CHARLES;1012;
FATHER;13;
RED HAIRED MAN;46;
ELLA!;289;
OTHER TEEN;3;
RIGHT THERE;24;
BOBBY;39;
RICTOR;127;
MOTHER;28;
NATE;115;
TEEN;12;
JACKSON;111;
REPORTER;22;
TROOPER;66;
KATHRYN;176;
WOMAN;12;
MILITARY NURSE;6;
DR. RICE;361;
DEALER;69;
REAVER DRIVER;13;
CALL IN HOST;21;
PIERCE;776;
RICE;81;
CALL IN GUEST;16;
OTHER KID;19;
SHANE;60;
CLERK;33;
WILL;370;
LOGAN;1989;
OLD LADY;5;
LAURA;219;
RED-HAIRED MAN;277;
WOMAN'S VOICE;2;
