PiratesOfTheCaribbean.txt
Nombre; Palabras
SMOLDERING PIRATE;5;
GIBBS;527;
SWANN;310;
MULLROY;64;
BOSUN;32;
JACK.;20;
PRISONER;51;
PINTEL;317;
PRISIONER;2;
ELIZABETII;5;
JACK/ELIZABETH;9;
TWIGG;76;
BROWN;10;
ELIZABETH;1028;
GILLETTE;155;
STEERSMAN;10;
COTTON'S PARROT;43;
SWAN;114;
TALL SAILOR;7;
MURTOGG;140;
BUTLER;7;
MULLR0Y;116;
SHORT SAILOR;7;
ANAMARIA;51;
ESTRELLA;18;
KOEHLER;34;
JACK;2499;
DEADEYE;5;
YOUNG ELIZABETH;19;
LOOKOUT;2;
BIG-BONES;16;
JACOBY;16;
SENTRY;17;
WILL;831;
HARBORMASTER;38;
SKINNY;10;
NORRINGTON;668;
BARBOSSA;1563;
