PiratesOfTheCaribbeanDeadMan'sChest.txt
Nombre; Palabras
MARTY;32;
GIBBS;690;
CANNIBAL CROWD;11;
ISLA CRUCES;4;
FLYING DUTCHMAN;11;
CANNIBAL WOMAN;2;
JACK SPARROW;1573;
TIA DALMA;366;
?KOLENIKO;4;
COTTON'S PARROT;23;
ELIZABETH SWANN;658;
WYVERN;43;
KOLENIKO;8;
HELMSMAN;5;
CHAPLAIN;9;
SHRIMPER;42;
WILL TURNER;926;
WOUNDED SAILOR;11;
RAGETTI;232;
GISELLE;12;
ONE-ARMED MAN;8;
TURKISH FISHERMAN;10;
DAVY JONES;475;
CANNIBAL ISLAND;14;
?CANNIBAL BOY;4;
GUARD;7;
SCUTTLED SHIP;4;
CARRUTHERS;9;
ROMANTIC MAN;18;
ELDERLY MAN;25;
GREENBEARD;7;
GREEK FISHERMAN;6;
?WILL TURNER;4;
QUARTERMASTER;66;
?BURSAR;5;
?PINTEL;6;
LORD CUTLER BECKETT;522;
BAYOU;4;
BARBOSSA;8;
PORT ROYAL;6;
?BELLAMY;15;
MERCER;65;
?MARTY;4;
LEECH;37;
?GIBBS;7;
BELLAMY;187;
MESSENGER SAILOR;9;
WEATHERED SAILOR;10;
PINTEL;242;
BO'SUN;40;
?QUARTERMASTER;4;
PRISONERS;4;
HALF-BLIND FISHERMAN;22;
HADRUS;48;
CREW;1;
BURSAR;55;
JILTED MAN;25;
?;6;
MACCUS;42;
NORRINGTON;281;
SCARLETT;7;
