RogeOne.txt
Nombre; Palabras
REBEL PILOT;3;
STORMTROOPERS;4;
K2-SO;583;
PAMLO;46;
LYRA;17;
DODONNA;4;
CITIZEN;18;
BLUE FIVE;3;
KRENNIC;464;
GALEN ERSO;4;
BAZE;137;
JYN ERSO;390;
GUNNER;1;
VANEE;6;
BLUE ELEVEN;5;
RED PILOT;10;
ADEMA;25;
RADDUS;125;
VANDER;24;
DR. EVAZAN;5;
MON MOTHMA;151;
REBEL;84;
HAMMERHEAD CAPTAIN;12;
GALEN ERSO;140;
IMPERIAL LIEUTENANT;4;
DARTH VADER;96;
JEDHA;3;
AT-ACT PILOT;4;
GOLD LEADER;9;
GOLD NINE;8;
CORSSIN;18;
BODHI;698;
GALEN;17;
BLUE EIGHT;4;
STORMTROOPER;191;
FLIGHT CONTROLLER;50;
SAW;6;
VASPAR;24;
SOLDIER;4;
ROMODI;25;
PRISONER;4;
CASSIAN;1324;
STAR DESTROYER CAPTAIN;2;
C-3PO;17;
PA;64;
K-2SO;2;
YOUNG JYN;8;
TONC;66;
CAPTAIN ANTILLES;24;
BLUE FOUR;5;
MILITIA;8;
EADU;3;
MELSHI;86;
GENERAL DRAVEN;41;
TIVIK;105;
LEIA;1;
RING OF KAFRENE;2;
ORGANA;22;
IMPERIAL CREW MEMBER;10;
BLUE SIX;6;
STORMTROOPER;7;
IMPERIAL;57;
TWO TUBES;11;
ENGINEER;5;
DRAVEN;148;
OFFICER;9;
WOBANI;3;
BLUE;6;
SENATOR ORGANA;61;
LIEUTENANT;37;
GALEN;26;
GOLD PILOT;6;
RED LEADER;12;
JYN;610;
MARINE;1;
REBEL MARINE;5;
TARKIN;229;
GORIN;4;
MERRICK;59;
ROGUE ONE;4;
SHIELD GATE OFFICER;25;
CHIRRUT;414;
MOTHER;2;
JEBEL;28;
PILOT;17;
COMPUTER;19;
SAW GERRERA;224;
RADDIS;3;
LYRA;22;
DEATHTROOPER;1;
RAMDA;9;
PTERRO;19;
