StarWarsEpisodeVIITheForceAwakens.txt
Nombre; Palabras
;10
REY;953
RAZOO QIN-FEE;3
BALA-TIK;121
YOUNG TECHNICIAN;13
JESS;18
ELLO ASTY;6
MAZ;190
FINN;1127
LIEUTENANT MITAKA;76
KYLO REN;586
MAJOR EMATT;7
CAPTAIN PHASMA;74
BAZINE;7
YOUNG GIRL;4
GENERAL HUX;292
C-3PO;82
GULCH;8
POE;619
STARKILLER TECHNICIAN;11
MEDIC;8
HAN;1282
SENIOR TROOPER;2
ADMIRAL STATURA;40
UNKAR PLUTT;2
UNKAR;39
SNAP;38
GENERAL STATURA;10
OFFICER;27
TASU LEECH;14
SNOKE;172
VOBER DAND;9
LOR SAN TEKKA;86
BRANCE;3
COLONEL DATOO;8
NIV LEK;11
ADMIRAL ACKBAR;43
YOLO ZIFF;20
STORMTROOPER;59
LEIA;238
