TheAvengers.txt
Nombre; Palabras
CLINT BARTON;204;
BARTON;23;
POLICE SERGEANT;42;
HULK;2;
LITTLE GIRL;12;
NASA SCIENTIST;4;
SECURITY GUARD;80;
SELVIG;180;
THOR;503;
BANNER;790;
HELMSMAN;10;
NATASHA;643;
THE OTHER;113;
TONY STEVE;8;
BLACK WIDOW;101;
INTERCUTS;43;
HAWKEYE;64;
YOUNG COP;13;
CAPTAIN AMERICA;401;
SHIELD SCIENTIST;5;
AGENT MARIA HILL;63;
JARVIS;163;
PILOT;8;
ATTENDING WOMAN;10;
PEPPER;190;
PEPPER POTTS;10;
MONTAGE;10;
IRON MAN;158;
LOKI;800;
TONY;1444;
ESCORT 606 PILOT;8;
GALAGA PLAYER;39;
AGENT PHIL COULSON;42;
STEVE TONY;8;
NICK FURY;1625;
LUCHKOV;118;
STEVE;743;
SENATOR BOYNTON;24;
WEASELLY THUG;4;
WAITRESS;34;
