TheAvengersAgeOfUltron.txt
Nombre; Palabras
Wanda Maximoff;258
Thor';10
Dr. Helen Cho;232
Announcer;18
Bruce Banner;626
FRIDAY;114
Dr. List;25
Thanos;5
Peggy Carter;20
Ultron;1129
Jarvis;6
Lila Barton;5
Specialist Cameron Klein;29
Tony Stark;2147
Clint Barton;739
James Rhodes;193
Strucker;137
Erik Selvig;37
Pietro Maximoff;229
Stan Lee;13
Ulysses Klaue;188
Ballet Instructor;1
Barton's Daughter;1
Iron Legion;76
JARVIS;215
Party Guest;6
Thor;608
Sam Wilson;54
Laura Barton;179
Klaue's Mercenary;5
Vision;228
World Hub Tech;5
Madame B;36
Maria Hill;245
Natasha Romanoff;782
Fortress Soldier;24
Nick Fury;378
Zrinka;7
Soldiers;2
Heimdall;42
Steve Rogers;1093
