TheAvengersInfinityWar.txt
Nombre; Palabras
;66;
WANDA MAXIMOFF;170;
MEMORY GAMORA;27;
BRUCE BANNER;519;
TONY STARK AND DRAX;1;
NEBULA;37;
EITRI;165;
GAMORA'S MOTHER;7;
F.R.I.D.A.Y;14;
MEMORY NEBULA;21;
RED SKULL;94;
T'CHALLA;147;
NATASHA ROMANOFF;100;
TONY STARK;1248;
JAMES RHODES;159;
DRAX;165;
HULK;2;
EBONY MAW;245;
F.R.I.D.A.Y.;8;
YOUR BUS DRIVER, STAN LEE;12;
GAMORA;371;
CORVUS GLAIVE;21;
STONEKEEPER;36;
SECRETARY ROSS;59;
STRANGE;13;
YOUNG GAMORA;12;
SHURI;56;
OKOYE;76;
JABARI WARRIORS;15;
MANTIS;70;
THOR;738;
SAM WILSON;59;
GROOT;21;
WONG;100;
DOCTOR STRANGE;434;
PETER QUILL;821;
VISION;341;
MARIA HILL;26;
ROCKET;527;
PEPPER POTTS;113;
M'BAKU;11;
NICK FURY;30;
NED LEEDS;9;
PROXIMA MIDNIGHT;44;
DOME CONTROL;9;
LOKI;82;
PETER PARKER;390;
BUCKY BARNES;31;
THANOS;841;
HEIMDALL;10;
COLLECTOR;25;
JABARI;2;
STEVE ROGERS;146;
