TheChroniclesOfNarniaTheLionTheWitchAndTheWardrobe.txt
Nombre; Palabras
HORSE;4
EVERYONE;17
MAUGRIM;67
SUSAN;462
ANNOUNCER;13
MRS. MACREADY;93
LUCY AND TUMNUS;1
ALL CALL OUT;1
GRYPHON;13
CUT TO;6
BEAVER;94
ROBIN;1
END OF LINE OF LUCY;3
DWARF;35
CROWD;1
MR. BEAVER;253
PETER READS;63
GUARD;3
WOLF;37
EDMUND;446
THE CHILDREN;2
OREIUS;16
WITCH;1
PETER;665
MR. TUMNUS;39
MRS. BEAVER;165
GINNABRICK;5
PROFESSOR;156
FOX;133
ORIEUS;3
SUSAN AND LUCY;2
OTMAN;4
ASLAN;360
FATHER CHRISTMAS;156
DRYAD;11
PHILIP;8
MR BEAVER;15
JADIS;8
ALL;2
TUMNUS;365
WHITE WITCH;514
GENERAL OTMIN;10
RADIO-MAN;11
LUCY;547
MR.BEAVER;19
PROF;3
MRS. PEVENSIE;57
