TheIncredibles.txt
Nombre; Palabras
BOY;12;
BERNIE;114;
LUCIUS/BOB;18;
BUDDY;176;
ELASTIGIRL;69;
ANNOUNCER;79;
POLICE RADIO;46;
OLD MAN;15;
ROBOT;8;
POLICE OFFICER;29;
OFFICERS;2;
SOLDIER;9;
FROZONE;53;
SNUG;7;
VIOLET;442;
MR. INCREDIBLE/ELASTIGIRL;12;
BOB;2104;
KARI;121;
GIRL;14;
HONEY;49;
WOMAN;82;
SANSWEET'S LAWYER;28;
MR. INCREDIBLE;110;
THIEF;9;
LUCIUS;357;
JACK-JACK;1;
SANSWEET;18;
RICK;152;
DASH/VIOLET;20;
VIOLET/DASH;92;
KID;7;
DASH;424;
COMPUTER;35;
MR. INCREDIBLE'S LAWYER;9;
TONY;40;
MRS. HOGENSON;39;
PROBE;35;
HUPH'S SECRETARY;12;
SYNDROME;694;
VOYAGE;11;
MR. HUPH;198;
GUARD;105;
MAN;43;
UNDERMINER;37;
MIRAGE;445;
PRIEST;20;
OLD LADY;16;
HELEN;2310;
INTERVIEWER;26;
BOB/HELEN;13;
PRINCIPAL;23;
