TheLastJedi.txt
Nombre; Palabras
HOLDO;32
COP;29
KAYDEL KO CONNIX;52
DJ;236
THAMM;31
ANNOUNCER;14
LUKE;874
FEMALE P.A. ANNOUNCER;7
TEENE;2
JAYCRIS TUBBS;5
SOLDIER;8
EXT;6
REY;841
FINN;831
PHASMA;43
PAIGE;2
KYLO REN;489
YODA;123
KAYDEN KO CONNIX;11
SLOWEN LO;30
LEIA AND AMILYN HOLDO;4
LEIA IN HOLOGRAM;68
MASTER CODEBREAKER;10
MEDICAL FRIGATE PILOT;19
ROSE;604
MALE ANNOUNCER;15
LARMA;5
MALE SCOUT;9
SHUTTLE PILOT;4
C-3PO;139
MALE COMMANDER;5
RESISTANCE SOLDIER;1
FIRST ORDER OFFICER;39
CANADY;61
FINCH DALLOW;16
POE;1074
HUX;17
SALTY;1
LOVEY;3
PILOT;21
JONES;14
AMILYN HOLDO;247
MONITOR;18
MEDIC DROID;9
EDRISON PEAVEY;1
ONIHO ZAYA;4
LANK PAZE;3
GONERIL;14
COVA NELL;3
SNOKE;461
RESISTANCE TROOPER;5
FEMALE VOICE;2
FINN AND ROSE;11
RESISTANCE FEMALE SOLDIER;3
BASCUS;6
GURNEY OPERATOR;7
PEAVEY;87
MAZ;110
ACKBAR;17
ARMITAGE HUX;332
SPEEDER PILOT;21
CREW MEMBER;3
RESISTANCE CONTROLLER;4
LARMA D'ACY;147
RESISTANCE MONITOR;10
TALLIE;41
LEIA;281
NIX JERD;18
