TheLionKingIISimbasPride.txt
Nombre; Palabras
RAFIKI, KIARA, and CHORUS;7
RANDOM ANIMALS;54
ANIMALS;88
KOVU;489
NUKA and VITANI;11
MUFASA;16
RAFIKI and KIARA;22
KIARA and KOVU;57
ANTELOPE;9
BS;24
CHEETAH;6
SCAR;2
NALA;65
KIARA, TIMON, and PUMBAA;1
SARAFINA;4
Like I said;3
VITANI;98
ZEBRA;2
RANDOM LIONESSES;33
PUMBAA;114
RAFIKI and CHORUS;23
ZEBRAS;3
KOVU and KIARA;1
GIRAFFES;5
RAFIKI;446
ZIRA;756
TIMON and PUMBAA;13
TIMON;527
HIPPO;16
GIRAFFE;9
NUKA;242
KIARA;629
CHORUS;27
ZAZU;61
Last chance, Zira;2
MS;34
There's only one thing we can do, Pumbaa;12
SIMBA;703
