TheNightmareBeforeChristmas.txt
Nombre; Palabras
EVERYONE;15;
WOLF MAN;3;
CORPSE FATHER;5;
MAN UNDER THE STAIRS;16;
SHOCK & BARREL;3;
CHILD CORPSE AND CHORUS;3;
CORPSE FATHER, WOLF MAN;5;
SAX PLAYER;10;
SANTA;40;
HYDE & CYCLOPS;3;
MAYOR;611;
HANGED MEN;5;
MUMMY;5;
VAMPIRE;42;
HANGING TREE;4;
THREE MR. HYDES;12;
SIAMESE SHADOW;12;
OOGIE BOOGIE SHADOW;17;
GROUP AND WOLF MAN;4;
LOCK,SHOCK, AND BARREL;21;
HARLEQUIN DEMON;5;
HARLEQUIN DEMON, WEREWOLF, AND MELTING MAN;9;
THREE SKELETONS;1;
MUMMY AND CORPSE CHILD;2;
SHADOW;13;
DR. FINKELSTEIN;241;
CORPSE CHILD TRIO;12;
WITCH;19;
DEVIL, WEREWOLF, HARLEQUIN DEMON;6;
CREATURE UNDER BED;15;
SECOND GHOUL;17;
OFF-SCREEN VOICE;4;
CLOWN;44;
JACK;2127;
HARLEOUIN DEMON;6;
LOCK, SHOCK & BARREL;26;
WEREWOLF;11;
LOCK AND SHOCK;21;
CHORUS;30;
CITIZENS OF HALLOWEEN;42;
BARREL;58;
VAMPIRES;30;
IGOR;3;
SHOCK;172;
UNDERSEA GAL;11;
GROUP;52;
THREE BATS;6;
WINGED DEMON;8;
CHILD CORPSE;4;
DUCK TOY;4;
OOGIE BOOGIE;391;
PUMPKIN PATCH CHORUS;13;
CREATURE FROM BLACK LAGOON;9;
CORPSE CHORUS;94;
SALLY;351;
LOCK;144;
TWO SKELETONS IN VICE;1;
ZERO;20;
GHOSTS;27;
JACK AND SALLY;19;
NEWSCASTER;64;
SANDY CLAWS;133;
MAYOR WITH CORPSE CHORUS;6;
PERSON INSIDE BASS;10;
WITCHES AND CREATURE LADY;7;
WOLFMAN;5;
GROUP AND HARLEOUIN;6;
SMALL MR. HYDE;7;
LOCK, SHOCK, AND BARREL;149;
CYCLOPS;4;
WITCHES;56;
MEDIUM MR. HYDE;6;
MR. HYDE;10;
MAYOR AND CHORUS;9;
PARENT CORPSES;12;
CHILD CORPSE TRIO;10;
MUMMY AND WINGED DEMON;2;
DEVIL;5;
HARLEQUIN;20;
ACCORDION PLAYER;5;
CORPSE FATHER, WOLF MAN, DEVIL;2;
JACK & SALLY;1;
CREATURE UNDER THE STAIRS;6;
CORPSE KID;11;
BEHEMOTH;4;
VAMPIRES AND WINGED DEMON;4;
