Thor.txt
Nombre; Palabras
THE DESTROYER;36;
DARCY;648;
TOWNIE;161;
MOMENT;142;
LOKIS;7;
SIF;1313;
SELVIG;1852;
VOLSTAGG;1623;
HEIMDALL;600;
SITWELL;187;
ADMISSIONS NURSE;90;
IT'S FUZZY, DOESN'T SHOW MUCH. WE WIDEN TO SEE WE ARE;22;
PETE;32;
THOR/SELVIG;157;
LAUFEY;377;
COULSON;1426;
FATHER;13;
EAGER TOWNIE;145;
BUT;70;
AGENT JACKSON;64;
TECHIE;160;
HOGUN;223;
EINHERJAR GUARD;36;
UNDERSTANDING SOMETHING;58;
AGENT DELANCEY;73;
FANDRAL;1242;
A;29;
TOWNIE PETE;53;
AGENT CALE;48;
ISABELA;36;
VOLSTAGG/HOGUN;9;
MJOLNIR;50;
URGENTLY;11;
A MAN;102;
ISABEL;44;
JANE;4032;
ORDERLY;37;
LOKI;3017;
LIBRARIAN;188;
SHIELD AGENT;51;
ODIN;1652;
DRUNK TOWNIE;45;
NURSE;35;
JOTUN;17;
BARTON;169;
AGENT GARRETT;18;
THOR;4337;
JOTUN SENTRY;14;
ODIN ALLFATHER;252;
FRIGGA;658;
