ThorRagnarock.txt
Nombre; Palabras
DR. STRANGE;16;
ACTOR LOKI;71;
COUSIN CARLO;5;
TOPAZ;51;
STRANGE;71;
CROWD;3;
SCRAPPER;5;
STAN LEE;14;
ODIN;301;
ACTOR SIF;2;
QUINJET;22;
HULK;119;
HELA;629;
ASGARDIAN CITIZENS;2;
VOLSTAGG;9;
ASGARDIAN WOMAN;4;
ACTOR ODIN;64;
ACTOR THOR;53;
LEAD SCRAPPER;16;
SCRAPPER #142;13;
BANNER;456;
NATASHA;47;
HOGUN;31;
KORG;532;
SURTUR;150;
LOKI;739;
SOOTHING VOICE;137;
LOKIE;1;
WARDEN;10;
HEIMDALL;145;
THOR;3187;
THOR / BANNER;1;
SKURGE;230;
VALKYRIE;580;
GRANDMASTER;719;
ASGARDIAN MAN;7;
