Tron.txt
Nombre; Palabras
BOY;4;
YORI V.O.;5;
WINNER;3;
TRON'S VOICE;10;
PILOT'S VOICE;14;
ALAN V.0.;3;
ALAN;399;
A SECRETARIAL VOICE;12;
CROM;130;
GIBBS;236;
DUMONT;307;
GIRL;1;
VOICE;81;
FLYNN;1231;
BOY'S VOICE;9;
TEENAGE GIRL;6;
RAM;290;
DILLINGER;269;
GUARDS;5;
CAPTIVE;26;
GUARD;50;
SARK/MCP;4;
YORI V.0.;13;
BIT;75;
RAM'S VOICE;5;
TRON;425;
WARRIOR;7;
SCREEN;9;
KID;4;
LORA'S VOICE;5;
TRON V.O.;4;
YORI;246;
CLU;89;
SCREEN MCP;6;
SARK V.0.;21;
SARK;484;
FLYNN'S VOICE;2;
DILLINGER'S VOICE;14;
LIEUTENANT;34;
LORA;225;
PROGRAMS;35;
PROGRAM;9;
HEAD GUARD;12;
MCP;626;
