TronLegacy.txt
Nombre; Palabras
GROUP;6
SINCLAIR;603
THE GUY;7
VOICES;5
BOOLE;56
RX23 LEADER;9
MILES;40
D-REZZ;3
KELTER & PHLEGMAN;15
FIGHTER SENTRY;5
VOICE;5
X-NET BUILDER BOSS;2
NERDS;3
PLEXOR;587
RUSH;2227
KROD & FIGHTERS;3
MEGA;613
X-TAKK COMMANDER;4
CODE MONK N1J;18
QUANTZ;39
I-BEEM;207
FLYNN;1274
CODE MONK J2R;49
FIGHTER ONE;3
DEWEY;2
KROD;526
KID PROGRAM;4
TRON;5
GPS VOICE;9
X-NET SPECIALIST;1
OTHERS;4
PR VP;37
X-TAKKS;4
X-TAKK;4
MARKETING VP;43
KELTER;22
MEG;288
X-NET SECURITY LEADER;9
VIDEO PLAYBACK;39
DARK FIGURE;14
CODE MONK B3T;17
CODE MONKS;2
PHLEGMAN;19
X-TAKK SPECIALIST;5
RUSH & KROD;1
