X-Men.txt
Nombre; Palabras
;63
ELDERLY OFFICIAL;8
MALE VOICE;76
BARTENDER;61
CAB DRIVER;8
COP;6
TOAD;57
JEAN GREY;653
TOAD'S VOICE;4
TRASK;97
ANOTHER OVERLAPPING VOICE;6
CYCLOPS;590
WARDEN;43
VOICE FROM RADIO;8
TECHNICIAN;5
COMMANDER;11
PALE MAN;31
MEL GIBSON;77
SECURITY CHIEF;7
BLUE SENTINEL;4
ANGEL;110
MAITRE D';7
CO-PILOT;5
MAN ON STREET;29
AGENT;5
PERKINS;11
MONITOR MAN;8
SENATOR CHESTER;227
SABRETOOTH;287
XAVIER;2445
TAN;16
ICEMAN;210
RINGMASTER;113
BOSS MAN;113
TROOPER;8
DRIVER;34
TROOPER ONE;12
GYRICH;422
RECEPTIONIST;10
LOGAN'S VOICE;121
POLICEMAN;14
PALE;89
MAN'S VOICE;13
OVERLAPPING VOICES;6
FEMALE VOICE;17
BOSS MAN'S VOICE;18
NEWSWOMAN;32
GREEN SENTINEL;6
SABRETOOTH'S VOICE;14
WAITER;3
MAGNETO;825
HUDSON;184
SHARPSHOOTER;7
XAVIER'S VOICE;42
BEAST;618
GREEN SENTINEL'S HEAD;6
LOGAN;1889
RED SENTINEL;9
GYRICH'S VOICE;12
BLOB;140
JUGGERNAUT;21
MONOTONOUS VOICE;14
TORTURER;4
ATTENDANT;12
PILOT;20
MAGNETO'S VOICE;118
WAITRESS;27
