Zootropia.txt
Nombre; Palabras
PREY ANCHOR;19
ADULT GIDEON GREY;59
ASTRONAUT SHEEP;16
YOUNG JUDY;202
BONNIE HOPPS;253
MR. BIG;232
LEOPARD;10
FLASH;35
FRU FRU SHREW;52
DUKE WEASELTON;151
ANOTHER REPORTER;8
YOUNG NICK;38
GARETH THE DOUBTING SHEEP BOY;6
FEMALE BOBCAT NEWS ANCHOR;46
BOGO;449
JERRY JUMBEAUX, JR.;85
KUDU POOTOSSER;28
OFFICER HIGGINS;2
ANGRY DRIVER;8
FRANTIC PIG;24
MEAN KID ANIMAL;48
RABBIT KID;3
SHARLA;24
DOUG;88
ACTUARY;12
REPORTER;27
BELLWETHER;504
HIPPO CHILD;8
PIG;6
NANGI;11
TRAIN CONDUCTOR;3
ORYX POOTOSSER;29
CROWD OF BUNNIES;1
ELEPHANT;5
PRESS;29
MCHORN;15
LIONHEART;220
PRISCILLA;1
JESSE;4
YAX THE HIPPIE YAK;112
GARY THE WOLF GUARD;5
ANGRY GERBIL LADY;7
YAX;107
MANCHAS;36
MAJOR FRIEDKIN;77
GIDEON GREY;159
PREDATOR ANCHOR;20
HOPPS.;2
MOOSE;5
PRED ANCHOR;17
WOLF GUARD;9
BADGER DOCTOR;51
MOUSE CONSTRUCTION WORKER;4
TRAVIS THE WOLF HENCHMAN KID;15
HOPPS;2617
COTTON;5
NICK;2049
TRUCK DRIVER;6
GAZELLE;101
MALE MOOSE NEWS ANCHOR;13
CLAWHAUSER;259
RABBIT MOM;3
MRS. OTTERTON;84
WOOLTER;15
STU HOPPS;412
JUDY;83
ACTUARY JAGUAR;10
FINNICK;37
DHARMA ARMADILLO;20
REPORTERS;10
